shift_pixels_x,depth_shift_z_pixels,rmse_before_moving_prime_vs_moving,rmse_after_moving_prime_vs_moved,rmse_lung_after_moving_prime_vs_moved,ms_ssim_after_moving_prime_vs_moved,dice_after_warped_moving_mask_vs_moving_prime_mask,folding_rate_predicted_dvf,dvf_rmse_vs_known_translation_lowres,predicted_flow_x_mean_lowres,analysis_rmse_moving_prime_vs_moved,downsampled_rmse_moving_prime_vs_moved,upsampled_rmse_moving_prime_vs_moved,synthesis_component_rmse_moving_prime_vs_moved
0,0,5.731854457735608e-07,0.005005666520446539,nan,0.5014038681983948,nan,1.9682578567881137e-05,0.39809301495552063,0.06987058371305466,0.004988803528249264,0.004999935626983643,0.0017677441937848926,0.0017678128788247705
1,0,0.04233550280332565,0.020204691216349602,nan,0.49469631910324097,nan,0.00021355599164962769,0.47599753737449646,0.6038188338279724,0.020166771486401558,0.020198417827486992,0.007141219452023506,0.007140588015317917
2,0,0.06400411576032639,0.010098504833877087,nan,0.49908119440078735,nan,1.968257947737584e-06,0.5240247249603271,1.4374110698699951,0.010077731683850288,0.010092043317854404,0.003568075830116868,0.0035678206477314234
3,0,0.07714325934648514,0.02306300401687622,nan,0.491423100233078,nan,0.0003385403542779386,0.8697572946548462,1.8867545127868652,0.02301606349647045,0.023056237027049065,0.008151611313223839,0.008150802925229073
4,0,0.0883159264922142,0.02112002670764923,nan,0.49168336391448975,nan,0.0012587009696289897,1.2479737997055054,2.22509765625,0.021071908995509148,0.021112820133566856,0.0074645099230110645,0.007463776972144842
5,0,0.09857430309057236,0.027463799342513084,nan,0.48529884219169617,nan,0.003818420460447669,1.5928572416305542,2.6522059440612793,0.027398742735385895,0.02745731733739376,0.009707626886665821,0.009706621058285236
6,0,0.10782067477703094,0.02630488947033882,nan,0.4843505024909973,nan,0.005296582356095314,2.062143325805664,2.8570361137390137,0.026244517415761948,0.026297731325030327,0.009297652170062065,0.009296715259552002
7,0,0.11595090478658676,0.030581975355744362,nan,0.4783637523651123,nan,0.0062344572506845,2.5256640911102295,3.062110662460327,0.030512098222970963,0.030575333163142204,0.010810012929141521,0.010808875784277916
8,0,0.12341233342885971,0.03388272225856781,nan,0.47106611728668213,nan,0.007115252315998077,3.0513200759887695,3.1534981727600098,0.033805593848228455,0.03387608379125595,0.011977004818618298,0.011975795030593872
9,0,0.13042236864566803,0.0400775708258152,nan,0.45638713240623474,nan,0.008472366258502007,3.584882974624634,3.224666118621826,0.03998958319425583,0.040071889758110046,0.014167551882565022,0.01416607666760683
10,0,0.13696777820587158,0.047653261572122574,nan,0.43628132343292236,nan,0.010004655458033085,4.1806864738464355,3.188093662261963,0.04755027964711189,0.04764867573976517,0.016846351325511932,0.016844531521201134
11,0,0.14314819872379303,0.055717773735523224,nan,0.4151764512062073,nan,0.011612721718847752,4.798762798309326,3.1121714115142822,0.05559484288096428,0.05571427568793297,0.019697971642017365,0.019695909693837166
12,0,0.14898420870304108,0.06591704487800598,nan,0.3920038044452667,nan,0.013113518245518208,5.485793590545654,2.913419008255005,0.06576211750507355,0.065914586186409,0.023304324597120285,0.023301847279071808
13,0,0.15454627573490143,0.07747198641300201,nan,0.369552880525589,nan,0.015420316718518734,6.1893229484558105,2.682992935180664,0.07728344202041626,0.07747038453817368,0.02738991752266884,0.027386991307139397
14,0,0.15985828638076782,0.0896875411272049,nan,0.34779489040374756,nan,0.01770447939634323,6.9049296379089355,2.424879789352417,0.0894632339477539,0.08968693017959595,0.03170911967754364,0.031705696135759354
15,0,0.1649080365896225,0.1021757423877716,nan,0.3269568383693695,nan,0.01923578418791294,7.631399154663086,2.153994083404541,0.10192950069904327,0.10217554122209549,0.03612450882792473,0.03612072765827179
16,0,0.16969670355319977,0.11266771703958511,nan,0.31020644307136536,nan,0.019609753042459488,8.350682258605957,1.8885871171951294,0.11240509152412415,0.1126680076122284,0.0398341566324234,0.03982991352677345
17,0,0.17429184913635254,0.1208638995885849,nan,0.2976277470588684,nan,0.020512200891971588,9.032398223876953,1.70054292678833,0.12058426439762115,0.12086483836174011,0.042732175439596176,0.042727600783109665
18,0,0.1786659210920334,0.12795259058475494,nan,0.2857357859611511,nan,0.020757248625159264,9.708773612976074,1.5118558406829834,0.12766239047050476,0.12795381247997284,0.04523850232362747,0.04523362219333649
19,0,0.18283143639564514,0.13278578221797943,nan,0.2766028642654419,nan,0.020580105483531952,10.321627616882324,1.4361177682876587,0.13248535990715027,0.13278700411319733,0.04694729670882225,0.04694223776459694
20,0,0.18680813908576965,0.13654151558876038,nan,0.26970070600509644,nan,0.020553532987833023,10.924652099609375,1.3747830390930176,0.13622458279132843,0.13654246926307678,0.04827504977583885,0.04826991260051727
21,0,0.19059188663959503,0.14001429080963135,nan,0.2630956768989563,nan,0.021133186295628548,11.504005432128906,1.3599050045013428,0.13968923687934875,0.14001509547233582,0.04950280860066414,0.0494975708425045
